Name,Team,CoI
Donnell Harvey,DEN,USA
Kenny Hasbrouck,MIA,USA
Scott Haskin,IND,USA
Clem Haskins,PHX,USA
Udonis Haslem,MIA,USA
Trenton Hassell,MIN,USA
Billy Hassett,LAL,USA
Joey Hassett,OKC,USA
Scott Hastings,ATL,USA
Kirk Haston,CHA,USA
Vern Hatton,GSW,USA
Sam Hauser,BOS,USA
John Havlicek,BOS,USA
Spencer Hawes,PHI,USA
Steve Hawes,ATL,USA
Connie Hawkins,PHX,USA
Hersey Hawkins,PHI,USA
Jordan Hawkins,NOP,USA
Juaquin Hawkins,HOU,USA
Marshall Hawkins,NONE,USA
Michael Hawkins,BOS,USA
Robert Hawkins,BKN,USA
Tom Hawkins,LAL,USA
Nate Hawthorne,PHX,USA
Chuck Hayes,HOU,USA
Elvin Hayes,WAS,USA
Jarvis Hayes,WAS,USA
Jaxson Hayes,LAL,USA
Killian Hayes,DET,France
Nigel Hayes,SAC,USA
Steve Hayes,CLE,USA
Gordon Hayward,OKC,USA
Lazar Hayward,MIN,USA
Brendan Haywood,WAS,USA
Spencer Haywood,OKC,USA
John W. Hazen,BOS,USA
Walt Hazzard,ATL,USA
Luther Head,HOU,USA
Shane Heal,MIN,Australia
Brian Heaney,WAS,USA
Garfield Heard,PHX,USA
Reggie Hearn,DET,USA
Herm Hedderick,NYK,USA
Alvin Heggs,HOU,USA
Tom Heinsohn,BOS,USA
Dick Hemric,BOS,USA
Alan Henderson,ATL,USA
Cedric Henderson,CLE,USA
Cedric Henderson,ATL,USA
Dave Henderson,PHI,USA
Gerald Henderson,BOS,USA
Gerald Henderson,CHA,USA
J.R. Henderson,MEM,USA
Jerome Henderson,MIL,USA
Kevin Henderson,GSW,USA
Scoot Henderson,POR,USA
Tom Henderson,HOU,USA
Taylor Hendricks,UTA,USA
Mark Hendrickson,SAC,USA
Larry Hennessy,GSW,USA
Don Henriksen,SAC,USA
Aaron Henry,PHI,USA
Al Henry,PHI,USA
Bill Henry,DET,USA
Carl Henry,SAC,USA
Conner Henry,BOS,USA
Myke Henry,MEM,USA
Skeeter Henry,PHX,USA
Xavier Henry,NOP,USA
John Henson,MIL,USA
Steve Henson,MIL,USA
Bill Herman,NONE,USA
Clarence Hermsen,BOS,USA
Dewan Hernandez,TOR,USA
Juancho Hernangomez,TOR,Spain
Willy Hernangomez,NOP,Spain
Chris Herren,DEN,USA
Carl Herrera,HOU,USA
Walter Herrmann,DET,Argentina
Tyler Herro,MIA,USA
Keith Herron,DET,USA
Sidney Hertzberg,BOS,USA
Kevin Hervey,OKC,USA
Fred Hetzel,GSW,USA
Bill Hewitt,DET,USA
Jack Hewson,BOS,USA
Art Heyman,NYK,USA
Mario Hezonja,ORL,Croatia
Roy Hibbert,IND,USA
Matthew Hickey,NONE,USA
Isaiah Hicks,NYK,USA
Phil Hicks,CHI,USA
JJ Hickson,CLE,USA
Buddy Hield,PHI,Bahamas
Cory Higgins,CHA,USA
Mike Higgins,SAC,USA
Rod Higgins,GSW,USA
Sean Higgins,BKN,USA
Kenny Higgs,DEN,USA
Johnny High,PHX,USA
Haywood Highsmith,MIA,USA
Wayne Hightower,GSW,USA
 Nene,DEN,Brazil
Armond Hill,ATL,USA
Cleo Hill,ATL,USA
Gary Hill,GSW,USA
George Hill,IND,USA
Grant Hill,DET,USA
Herbert Hill,PHI,USA
Jordan Hill,LAL,USA
Malcolm Hill,NOP,USA
Solomon Hill,ATL,USA
Steven Hill,OKC,USA
Tyrone Hill,CLE,USA
Art Hillhouse,GSW,USA
Darrun Hilliard,DET,USA
Darnell Hillman,IND,USA
Fred Hilton,LAC,USA
Kirk Hinrich,CHI,USA
Roy Hinson,CLE,USA
Nate Hinton,HOU,USA
Mel Hirsch,BOS,USA
Lew Hitch,LAL,USA
Robert Hite,MIA,USA
Jaylen Hoard,OKC,France
Darington Hobson,MIL,USA
D'Moi Hodge,LAL,British Virgin Islands
Donald Hodge,DAL,USA
Julius Hodge,DEN,USA
Craig Hodges,MIL,USA
Adolph Hoefer,BOS,USA
"Bear, The Body Hoffman",NONE,USA
Bob Hogsett,DET,USA
Paul Hogue,NYK,USA
Fred Hoiberg,CHI,USA
Doug Holcomb,NONE,USA
Randy Holcomb,CHI,USA
Aaron Holiday,HOU,USA
Jrue Holiday,BOS,USA
Justin Holiday,DEN,USA
Brad Holland,LAL,USA
Joe Holland,NONE,USA
John Holland,CLE,USA
Wilbur Holland,CHI,USA
Lionel Hollins,POR,USA
Ryan Hollins,LAC,USA
Essie Hollis,DET,USA
Rondae Hollis-Jefferson,BKN,USA
Richaun Holmes,WAS,USA
Chet Holmgren,OKC,USA
Jim Holstein,LAL,USA
Alvin Holt,CHI,USA
Michael Holton,POR,USA
Dick Holub,NYK,USA
Joe Holup,DET,USA
Red Holzman,SAC,USA
Caleb Homesley,WAS,USA
Jerald Honeycutt,MIL,USA
Tyler Honeycutt,SAC,USA
Derek Hood,CHA,USA
Rodney Hood,LAC,USA
Jalen Hood-Schifino,LAL,USA
Tom Hoover,NYK,USA
Bob Hopkins,PHI,USA
Dave Hoppen,CHA,USA
Dennis Hopson,BKN,USA
Scotty Hopson,OKC,USA
Johnny Horan,LAL,USA
Cedrick Hordges,DEN,USA
Al Horford,BOS,Dominican Republic
Tito Horford,MIL,USA
Ron Horn,LAL,USA
Jeff Hornacek,UTA,USA
Dennis Horner,BKN,USA
Robert Horry,LAL,USA
Ed Horton,WAS,USA
Talen Horton-Tucker,UTA,USA
Wilmer Hosket,NYK,USA
Bob Houbregs,DET,USA
Eddie House,MIA,USA
Danuel House Jr.,PHI,USA
Caleb Houstan,ORL,Canada
Allan Houston,NYK,USA
Byron Houston,GSW,USA
Tom Hovasse,ATL,USA
Brian Howard,DAL,USA
Dwight Howard,LAL,USA
Greg Howard,CLE,USA
Jett Howard,ORL,USA
Josh Howard,DAL,USA
Juwan Howard,WAS,USA
Markus Howard,DEN,USA
Mo Howard,UTA,USA
Otis Howard,DET,USA
Stephen Howard,UTA,USA
William Howard,HOU,France
Bailey Howell,DET,USA
Bob Hubbard,NONE,USA
Phil Hubbard,CLE,USA
Trevor Hudgins,HOU,USA
Lester Hudson,BOS,USA
Lou Hudson,ATL,USA
Troy Hudson,MIN,USA
Marcelo Huertas,LAL,Brazil
Kevin Huerter,SAC,USA
Josh Huestis,OKC,USA
Jay Huff,DEN,USA
Nate Huffman,TOR,USA
Alfredrick Hughes,SAS,USA
Eddie Hughes,DEN,USA
Elijah Hughes,POR,USA
Kim Hughes,DEN,USA
Larry Hughes,WAS,USA
Rick Hughes,DAL,USA
Robbie Hummel,MIN,USA
John Hummer,LAC,USA
Ryan Humphrey,MEM,USA
Isaac Humphries,ATL,Australia
Jay Humphries,MIL,USA
Kris Humphries,BKN,USA
Rod Hundley,LAL,USA
Feron Hunt,NYK,USA
Brandon Hunter,BOS,USA
Cedric Hunter,CHA,USA
Chris Hunter,GSW,USA
De'Andre Hunter,ATL,USA
Les Hunter,WAS,USA
Lindsey Hunter,DET,USA
Othello Hunter,ATL,USA
RJ Hunter,BOS,USA
Steven Hunter,ORL,USA
Vincent Hunter,MEM,USA
Bobby Hurley,SAC,USA
Roy Hurley,NONE,USA
Matt Hurt,MEM,USA
Geoff Huston,CLE,USA
Paul Huston,NONE,USA
Mel Hutchins,DET,USA
Chandler Hutchison,PHX,USA
Joe Hutton,LAL,USA
Greg Hyder,SAC,USA
Bones Hyland,LAC,USA
Marc Iavaroni,UTA,USA
Serge Ibaka,MIL,Democratic Republic of the Congo
Andre Iguodala,GSW,USA
Zydrunas Ilgauskas,CLE,Lithuania
Mile Ilic,BKN,Serbia
Ersan Ilyasova,MIL,Turkey
Darrall Imhoff,LAL,USA
Tom Ingelsby,ATL,USA
Joe Ingles,ORL,Australia
Damien Inglis,MIL,France
Andre Ingram,LAL,USA
Brandon Ingram,NOP,USA
Joel Ingram,LAL,USA
Byron Irvin,POR,USA
Kyrie Irving,DAL,Australia
Jonathan Isaac,ORL,USA
Dan Issel,DEN,USA
Mike Iuzzolino,DAL,USA
Allen Iverson,PHI,USA
Jaden Ivey,DET,USA
Royal Ivey,ATL,USA
Wes Iwundu,POR,USA
Jarrett Jack,POR,USA
Aaron Jackson,HOU,USA
Al Jackson,SAC,USA
Bobby Jackson,SAC,USA
Cedric Jackson,CLE,USA
Darnell Jackson,CLE,USA
Demetrius Jackson,HOU,USA
Frank Jackson,UTA,USA
GG Jackson,MEM,USA
Greg Jackson,PHX,USA
Isaiah Jackson,IND,USA
Jaren Jackson,SAS,USA
Jermaine Jackson,TOR,USA
Jim Jackson,DAL,USA
Josh Jackson,TOR,USA
Justin Jackson,MIN,USA
Lucious Jackson,PHI,USA
Luke Jackson,CLE,USA
Marc Jackson,PHI,USA
Mark Jackson,NYK,USA
Michael Jackson,SAC,USA
Myron Jackson,DAL,USA
Phil Jackson,NYK,USA
Pierre Jackson,DAL,USA
Quenton Jackson,IND,USA
Ralph Jackson,IND,USA
Randell Jackson,WAS,USA
Reggie Jackson,DEN,USA
Stanley Jackson,MIN,USA
Stephen Jackson,SAS,USA
Tony Jackson,LAL,USA
Tracy Jackson,CHI,USA
Wardell Jackson,OKC,USA
Andre Jackson Jr.,MIL,USA
Jaren Jackson Jr.,MEM,USA
Trayce Jackson-Davis,GSW,USA
Winfred Jacobs,NONE,USA
Casey Jacobsen,PHX,USA
Sam Jacobson,GSW,USA
Dave Jamerson,HOU,USA
Aaron James,UTA,USA
Bernard James,DAL,USA
Damion James,BKN,USA
Gene James,NONE,USA
Henry James,CLE,USA
Jerome James,OKC,USA
Justin James,SAC,USA
LeBron James,LAL,USA
Mike James,MIA,USA
Mike James,PHX,USA
Tim James,CHA,USA
Antawn Jamison,WAS,USA
Harold Jamison,LAC,USA
John Janisch,NONE,USA
Howie Janotta,NONE,USA
Jaime Jaquez Jr.,MIA,USA
Marko Jaric,MIN,Serbia
Tony Jaros,LAL,USA
DeJon Jarreau,MEM,USA
Sarunas Jasikevicius,IND,Lithuania
Nathan Jawai,MIN,Australia
Buddy Jeannette,NONE,USA
Abdul Jeelani,POR,USA
Chris Jefferies,TOR,USA
Othyus Jeffers,WAS,USA
Al Jefferson,UTA,USA
Amile Jefferson,ORL,USA
Cory Jefferson,BKN,USA
Dontell Jefferson,CHA,USA
Richard Jefferson,BKN,USA
DaQuan Jeffries,NYK,USA
Jared Jeffries,NYK,USA
Trey Jemison,MEM,USA
Charles Jenkins,GSW,USA
Horace Jenkins,DET,USA
John Jenkins,ATL,USA
Brandon Jennings,MIL,USA
Keith Jennings,GSW,USA
Chris Jent,NYK,USA
Les Jepsen,SAC,USA
Jonas Jerebko,DET,Sweden
Ty Jerome,CLE,USA
Curtis Jerrells,SAS,USA
Grant Jerrett,OKC,USA
Pooh Jeter,SAC,USA
Isaiah Joe,OKC,USA
Britton Johnsen,ORL,USA
Alexander Johnson,MEM,USA
Alize Johnson,SAS,USA
Amir Johnson,TOR,USA
Andy Johnson,GSW,USA
Anthony Johnson,IND,USA
Armon Johnson,POR,USA
Arnie Johnson,SAC,USA
Avery Johnson,SAS,USA
BJ Johnson,ORL,USA
Brice Johnson,LAC,USA
Buck Johnson,HOU,USA
Cameron Johnson,BKN,USA
Carldell Johnson,NOP,USA
Charlie Johnson,GSW,USA
Chris Johnson,MIN,USA
Chris Johnson,UTA,USA
Clay Johnson,LAL,USA
Clemon Johnson,IND,USA
Dakari Johnson,OKC,USA
Darryl Johnson,CLE,USA
Dave Johnson,POR,USA
David Johnson,DET,USA
David Johnson,TOR,USA
DeMarco Johnson,NYK,USA
Dennis Johnson,BOS,USA
DerMarr Johnson,DEN,USA
Eddie Johnson,SAC,USA
Eddie Johnson,ATL,USA
Eric Johnson,UTA,USA
Ervin Johnson,MIL,USA
Frank Johnson,WAS,USA
George Johnson,HOU,USA
George Johnson,IND,USA
George Johnson,GSW,USA
Gus Johnson,WAS,USA
Harold Johnson,NONE,USA
Ivan Johnson,ATL,USA
JaJuan Johnson,BOS,USA
Jalen Johnson,ATL,USA
James Johnson,IND,USA
Joe Johnson,BOS,USA
John Johnson,OKC,USA
Kannard Johnson,CLE,USA
Keldon Johnson,SAS,USA
Ken Johnson,MIA,USA
Ken Johnson,POR,USA
Keon Johnson,BKN,USA
Kevin Johnson,PHX,USA
Keyontae Johnson,OKC,USA
Larry Johnson,CHA,USA
Larry Johnson,LAC,USA
Lee Johnson,HOU,USA
Linton Johnson,NOP,USA
Lynbert Johnson,GSW,USA
Magic Johnson,LAL,USA
Marques Johnson,MIL,USA
Mickey Johnson,CHI,USA
Neil Johnson,PHX,USA
Nick Johnson,HOU,USA
Ollie Johnson,SAC,USA
Omari Johnson,MEM,Jamaica
Orlando Johnson,IND,USA
Reggie Johnson,SAS,USA
Rich Johnson,BOS,USA
Ron Johnson,LAL,USA
Stanley Johnson,SAS,USA
Steffond Johnson,LAC,USA
Steve Johnson,SAC,USA
Trey Johnson,NOP,USA
Tyler Johnson,SAS,USA
Vinnie Johnson,DET,USA
Wesley Johnson,LAC,USA
Darius Johnson-Odom,LAL,USA
Nate Johnston,POR,USA
Neil Johnston,GSW,USA
Jim Johnstone,DET,USA
Nikola Jokic,DEN,Serbia
Howie Jolliff,LAL,USA
Alvin Jones,PHI,USA
Anthony Jones,DAL,USA
Askia Jones,MIN,USA
Bill Jones,BKN,USA
Bobby Jones,PHI,USA
Bobby Jones,PHI,USA
Caldwell Jones,PHI,USA
Carlik Jones,CHI,USA
Charles Jones,WAS,USA
Charles Jones,PHX,USA
Charles R. Jones,LAC,USA
Colby Jones,SAC,USA
Dahntay Jones,MEM,USA
Damian Jones,CLE,USA
Damon Jones,CLE,USA
DeQuan Jones,ORL,USA
Dominique Jones,DAL,USA
Dontae' Jones,BOS,USA
Dwayne Jones,CLE,USA
Dwight Jones,CHI,USA
Earl Jones,MIL,USA
Eddie Jones,MIA,USA
Edgar Jones,SAS,USA
Fred Jones,IND,USA
Herbert Jones,NOP,USA
Jake Jones,SAC,USA
Jalen Jones,CLE,USA
James Jones,MIA,USA
Jemerrio Jones,LAL,USA
Jimmy Jones,WAS,USA
Johnny Jones,BOS,USA
Jumaine Jones,CLE,USA
K.C. Jones,BOS,USA
Kai Jones,PHI,Bahamas
Kevin Jones,CLE,USA
Larry Jones,PHI,USA
Major Jones,HOU,USA
Mark Jones,ORL,USA
Mark Jones,BKN,USA
Mason Jones,SAC,USA
Nick Jones,GSW,USA
Ozell Jones,SAS,USA
Popeye Jones,DAL,USA
Rich Jones,BKN,USA
Robin Jones,POR,USA
Sam Jones,BOS,USA
Shelton Jones,PHI,USA
Solomon Jones,ATL,USA
Steve Jones,POR,USA
Terrence Jones,HOU,USA
Tre Jones,SAS,USA
Tyus Jones,WAS,USA
Wali Jones,PHI,USA
Wallace Jones,NONE,USA
Wil Jones,IND,USA
Willie Jones,DET,USA
Willie Jones,LAC,USA
Perry Jones III,OKC,USA
Derrick Jones Jr.,DAL,USA
Adonis Jordan,DEN,USA
DeAndre Jordan,DEN,USA
Eddie Jordan,BKN,USA
Jerome Jordan,BKN,Jamaica
Michael Jordan,CHI,USA
Reggie Jordan,MIN,USA
Thomas Jordan,PHI,USA
Walter Jordan,CLE,USA
Phil Jordon,SAC,USA
Johnny Jorgensen,LAL,USA
Noble Jorgensen,PHI,USA
Roger Jorgensen,NONE,USA
Cory Joseph,GSW,Canada
Garth Joseph,DEN,USA
Kris Joseph,BOS,Canada
Yvon Joseph,BKN,USA
Nikola Jovic,MIA,Serbia
Jeff Judkins,BOS,USA
Johnny Juzang,UTA,USA
Mfiondu Kabengele,BOS,Canada
Edwin Kachan,NONE,USA
George Kaftan,NYK,USA
Ed Kalafat,LAL,USA
Georgios Kalaitzakis,OKC,Greece
Chris Kaman,LAC,USA
Frank Kaminsky,HOU,USA
Ralph Kaplowitz,GSW,USA
Jason Kapono,TOR,USA
Tony Kappen,NONE,USA
Sergey Karasev,BKN,Russia
Coby Karl,LAL,USA
George Karl,SAS,USA
Ed Kasid,NONE,USA
Mario Kasun,ORL,Croatia
Leo Katkaveck,NONE,USA
Bob Kauffman,LAC,USA
Sasha Kaun,CLE,Russia
Wilbert Kautz,NONE,USA
Clarence Kea,DAL,USA
Michael Kearns,GSW,USA
Tommy Kearns,PHI,USA
Adam Keefe,UTA,USA
Harold Keeling,DAL,USA
Trevor Keels,MIN,USA
Ken Keller,WAS,USA
Rich Kelley,UTA,USA
Clark Kellogg,IND,USA
Gerard Kelly,BOS,USA
Ryan Kelly,LAL,USA
Tom Kelly,BOS,USA
Greg Kelser,OKC,USA
Ben Kelso,DET,USA
Shawn Kemp,OKC,USA
Tim Kempton,CHA,USA
Frank Kendrick,GSW,USA
Luke Kennard,MEM,USA
D.J. Kennedy,CLE,USA
Eugene Kennedy,HOU,USA
Joe Kennedy,OKC,USA
William Kennedy,GSW,USA
Larry Kenon,SAS,USA
Bill Kenville,PHI,USA
Jonathan Kerner,ORL,USA
Johnny Kerr,PHI,USA
Steve Kerr,CHI,USA
Jack Kerris,DET,USA
Jerome Kersey,POR,USA
Alec Kessler,MIA,USA
Walker Kessler,UTA,USA
Lari Ketner,CLE,USA
Braxton Key,DEN,USA
Randolph Keys,CLE,USA
Viktor Khryapa,POR,Russia
Jason Kidd,BKN,USA
Stanton Kidd,UTA,USA
Warren Kidd,PHI,USA
Michael Kidd-Gilchrist,CHA,USA
Irv Kiffin,SAS,USA
Jack Kiley,DET,USA
Ernie Killum,LAL,USA
Carl Kilpatrick,UTA,USA
Sean Kilpatrick,BKN,USA
Toby Kimball,HOU,USA
Bo Kimble,LAC,USA
Stan Kimbrough,DET,USA
Chad Kinch,CLE,USA
Albert King,BKN,USA
Bernard King,WAS,USA
Chris King,MEM,USA
Dan King,NONE,USA
Frankie King,PHI,USA
George King,PHI,USA
George King,DAL,USA
Gerard King,WAS,USA
Jim King,LAL,USA
Jimmy King,TOR,USA
Louis King,PHI,USA
Maury King,WAS,USA
Reggie King,SAC,USA
Rich King,OKC,USA
Stacey King,CHI,USA
Tom King,NONE,USA
Bob Kinney,BOS,USA
Tarence Kinsey,MEM,USA
Andrei Kirilenko,UTA,Russia
Alex Kirk,CLE,USA
Walt Kirk,ATL,USA
Corey Kispert,WAS,USA
Doug Kistler,NYK,USA
Curtis Kitchen,OKC,USA
Greg Kite,ORL,USA
Kerry Kittles,BKN,USA
Maxi Kleber,DAL,Germany
Joe Kleine,BOS,USA
Linas Kleiza,DEN,Lithuania
Leo Klier,DET,USA
Herm Klotz,NONE,USA
Duane Klueh,DET,USA
Billy Knight,IND,USA
Bob Knight,NYK,USA
Brandin Knight,HOU,USA
Brandon Knight,DAL,USA
Brevin Knight,CLE,USA
Nathan Knight,BOS,USA
Negele Knight,PHX,USA
Ron Knight,POR,USA
Toby Knight,NYK,USA
Travis Knight,LAL,USA
Lee Knorek,NYK,USA
Dick Knostman,PHI,USA
Rod Knowles,PHX,USA
Kevin Knox II,DET,USA
Bart Kofoed,UTA,USA
Don Kojis,HOU,USA
Christian Koloko,TOR,Cameroon
Milo Komenich,NONE,USA
Howard Komives,NYK,USA
Jon Koncak,ATL,USA
John Konchar,MEM,USA
Bud Koper,GSW,USA
Joe Kopicki,WAS,USA
Furkan Korkmaz,PHI,Turkey
Frank Kornet,MIL,USA
Luke Kornet,BOS,USA
Yaroslav Korolev,LAC,Russia
Kyle Korver,PHI,USA
Len Kosmalski,SAC,USA
Andy Kostecka,NONE,USA
Harold Kottman,BOS,USA
Kosta Koufos,SAC,USA
Tom Kozelko,WAS,USA
Arvid Kramer,DEN,USA
Barry Kramer,GSW,USA
Joel Kramer,PHX,USA
Dan Kraus,NONE,USA
Herb Krautblatt,NONE,USA
Viacheslav Kravtsov,DET,Ukraine
Jim Krebs,LAL,USA
Vit Krejci,ATL,Czech Republic
Wayne Kreklow,BOS,USA
Tom Kron,OKC,USA
Tom Kropp,CHI,USA
Nenad Krstic,BKN,Serbia
Larry Krystkowiak,MIL,USA
Steve Kuberski,BOS,USA
Leo Kubiak,NONE,USA
Bruce Kuczenski,BKN,USA
Frank Kudelka,NONE,USA
John Kuester,SAC,USA
Ray Kuka,NYK,USA
Toni Kukoc,CHI,Croatia
Arnoldas Kulboka,CHA,Lithuania
Jonathan Kuminga,GSW,DRC
Kevin Kunnert,HOU,USA
Mitch Kupchak,WAS,USA
Charles Kupec,LAL,USA
Rodions Kurucs,BKN,Latvia
Rob Kurz,GSW,USA
Ibrahim Kutluay,OKC,Turkey
Kyle Kuzma,WAS,USA
Ognjen Kuzmic,GSW,Serbia
Mindaugas Kuzminskas,NYK,Lithuania
Fred LaCour,ATL,USA
Raef LaFrentz,DEN,USA
Tom LaGarde,DAL,USA
Jake LaRavia,MEM,USA
Rusty LaRue,CHI,USA
Rudy LaRusso,LAL,USA
Zach LaVine,CHI,USA
Skal Labissiere,SAC,Haiti
Sam Lacey,SAC,USA
Christian Laettner,MIN,USA
Oliver Lafayette,BOS,USA
Bill Laimbeer,DET,USA
Pete Lalich,NONE,USA
Bo Lamar,LAL,USA
Anthony Lamb,GSW,USA
Doron Lamb,ORL,USA
Jeremy Lamb,SAC,USA
John Lambert,CLE,USA
Jeff Lamp,POR,USA
Maciej Lampe,PHX,Poland
Jim Lampley,PHI,USA
Sean Lampley,MIA,USA
Jock Landale,HOU,Australia
Carl Landry,SAC,USA
Marcus Landry,NYK,USA
Mark Landsberger,LAL,USA
Jerome Lane,DEN,USA
Andrew Lang,PHX,USA
Antonio Lang,CLE,USA
James Lang,WAS,USA
Trajan Langdon,CLE,USA
Keith Langford,SAS,USA
Romeo Langford,UTA,USA
Dan Langhi,HOU,USA
Bob Lanier,DET,USA
Stu Lantz,HOU,USA
Nicolas Laprovittola,SAS,Argentina
York Larese,GSW,USA
Shane Larkin,BKN,USA
John Laskowski,CHI,USA
Stephane Lasme,MIA,Gabon
Dave Lattin,PHX,USA
Priest Lauderdale,DEN,USA
Rich Laurel,MIL,USA
Walt Lautenbach,NONE,USA
Joffrey Lauvergne,DEN,France
Tony Lavelli,BOS,USA
Bob Lavoy,NONE,USA
Acie Law,ATL,USA
Vic Law,ORL,USA
Gani Lawal,PHX,USA
Ed Lawrence,DET,USA
A.J. Lawson,DAL,Canada
Jason Lawson,ORL,USA
Ty Lawson,DEN,USA
Jake Layman,BOS,USA
Dennis Layton,PHX,USA
Caris LeVert,CLE,USA
T.J. Leaf,IND,USA
Emanuel Leaks,PHI,USA
Hal Lear,GSW,USA
Allen Leavell,HOU,USA
Jeff Lebo,SAS,USA
Eric Leckner,UTA,USA
Jalen Lecque,PHX,USA
Ricky Ledo,DAL,USA
Butch Lee,ATL,USA
Clyde Lee,GSW,USA
Courtney Lee,MEM,USA
Damion Lee,PHX,USA
David Lee,NYK,USA
Doug Lee,BKN,USA
George Lee,DET,USA
Greg Lee,POR,USA
Keith Lee,CLE,USA
Kurk Lee,BKN,USA
Malcolm Lee,MIN,USA
Rock Lee,LAC,USA
Ron Lee,PHX,USA
Russell Lee,MIL,USA
Saben Lee,PHX,USA
Ed Leede,BOS,USA
Hank Lefkowitz,NONE,USA
Tim Legler,WAS,USA
George Lehmann,ATL,USA
Walt Lemon Jr.,CHI,USA
Alex Len,SAC,Ukraine
Voshon Lenard,MIA,USA
Bob Leonard,LAL,USA
Gary Leonard,MIN,USA
Kawhi Leonard,LAC,USA
Meyers Leonard,MIL,USA
Jim Les,SAC,USA
Travis Leslie,LAC,USA
Ronnie Lester,CHI,USA
Clifford Lett,SAS,USA
Jon Leuer,MEM,USA
Andrew Levane,PHI,USA
Lafayette Lever,DEN,USA
Cliff Levingston,ATL,USA
Bobby Lewis,GSW,USA
Cedric Lewis,WAS,USA
Fred Lewis,NONE,USA
Freddie Lewis,IND,USA
Grady Lewis,NONE,USA
Justin Lewis,CHI,USA
Martin Lewis,TOR,USA
Maxwell Lewis,LAL,USA
Quincy Lewis,UTA,USA
Ralph Lewis,DET,USA
Rashard Lewis,OKC,USA
Reggie Lewis,BOS,USA
Scottie Lewis,CHA,USA
Kira Lewis Jr.,UTA,USA
Marcus Liberty,DEN,USA
Todd Lichti,DEN,USA
E.J. Liddell,NOP,USA
DeAndre Liggins,CLE,USA
Bill Ligon,DET,USA
Damian Lillard,MIL,USA
Jeremy Lin,HOU,USA
Steve Lingenfelter,WAS,USA
Alton Lister,MIL,USA
Nassir Little,PHX,USA
Dereck Lively II,DAL,USA
Isaiah Livers,WAS,USA
Chris Livingston,MIL,USA
Randy Livingston,PHX,USA
Shaun Livingston,GSW,USA
Ron Livingstone,GSW,USA
Horacio Llamas,PHX,USA
Earl Lloyd,PHI,USA
Lewis Lloyd,HOU,USA
Scott Lloyd,DAL,USA
Bob Lochmueller,PHI,USA
Robert Lock,LAC,USA
Darrell Lockhart,SAS,USA
Ian Lockhart,PHX,USA
Kevin Loder,SAC,USA
Don Lofgran,NONE,USA
Zach Lofton,DET,USA
Kenneth Lofton Jr.,UTA,USA
Johnny Logan,NONE,USA
Brad Lohaus,MIL,USA
Art Long,OKC,USA
Grant Long,MIA,USA
John Long,DET,USA
Paul Long,DET,USA
Shawn Long,PHI,USA
Luc Longley,CHI,USA
Kevon Looney,GSW,USA
Brook Lopez,MIL,USA
Felipe Lopez,MEM,Dominican Republic
Raul Lopez,UTA,Spain
Robin Lopez,MIL,USA
Ryan Lorthridge,GSW,USA
Jim Loscutoff,BOS,USA
Plummer Lott,OKC,USA
Kevin Loughery,WAS,USA
Didi Louzada,POR,Brazil
Bob Love,CHI,USA
Kevin Love,MIA,USA
Stan Love,WAS,USA
Clyde Lovellette,LAL,USA
Sidney Lowe,MIN,USA
Chuck Lowery,MIL,USA
Kyle Lowry,PHI,USA
Jordan Loyd,TOR,USA
Al Lucas,BOS,USA
Jerry Lucas,SAC,USA
John Lucas,HOU,USA
Kalin Lucas,MEM,USA
Maurice Lucas,POR,USA
John Lucas III,TOR,USA
Ted Luckenbill,GSW,USA
Tyronn Lue,ATL,USA
Jim Luisi,NONE,USA
Al Lujack,NONE,USA
Phil Lumpkin,POR,USA
Ray Lumpp,NYK,USA
Gabriel Lundberg,PHX,Denmark
Seth Lundy,ATL,USA
Timothe Luwawu-Cabarrot,PHX,France
Tyler Lydon,DEN,USA
Trey Lyles,SAC,Canada
George Lynch,NOP,USA
Kevin Lynch,CHA,USA
Mike Lynn,LAL,USA
Sheldon Mac,WAS,USA
Todd MacCulloch,PHI,Canada
Ronnie MacGilvray,ATL,USA
Don MacLean,WAS,USA
Mike Macaluso,LAC,USA
Ed Macauley,BOS,USA
Scott Machado,HOU,USA
Arvydas Macijauskas,NOP,Lithuania
Ollie Mack,DAL,USA
Sam Mack,HOU,USA
Shelvin Mack,ATL,USA
Malcolm Mackey,PHX,USA
Rudy Macklin,ATL,USA
Vernon Macklin,DET,USA
Johnny Macknowski,PHI,USA
Daryl Macon,DAL,USA
Mark Macon,DEN,USA
J.P. Macura,CHA,USA
Kyle Macy,PHX,USA
Jack Maddox,NONE,USA
Tito Maddox,HOU,USA
Gerald Madkins,CLE,USA
Mark Madsen,MIN,USA
Norm Mager,NONE,USA
Josh Magette,ATL,USA
Corey Maggette,LAC,USA
Dave Magley,CLE,USA
Jamaal Magloire,NOP,Canada
Will Magnay,NOP,Australia
Ian Mahinmi,IND,France
John Mahnken,BOS,USA
Francis Mahoney,BOS,USA
Rick Mahorn,WAS,USA
Dan Majerle,PHX,USA
Renaldo Major,GSW,USA
Thon Maker,MIL,South Sudan
Lionel Malamed,NONE,USA
Theo Maledon,PHX,France
Jeff Malone,WAS,USA
Karl Malone,UTA,USA
Moses Malone,HOU,USA
Matt Maloney,HOU,USA
Steve Malovic,LAC,USA
Sandro Mamukelashvili,SAS,Georgia
Ted Manakas,SAC,USA
John Mandic,NONE,USA
